date,opponent,w/l,sp,k,e,ta,pct,ast,sa,se,re,dig,bs,ba,be,tb,bhe,pts,year
8/30/2019,vs Peru State,1,3,41,12,104,0.279,36,10,7,6,58,0,6,1,3.0,1,54.0,2019
8/30/2019,vs Doane (Neb.),1,4,59,14,159,0.283,57,10,10,5,78,2,4,1,4.0,1,73.0,2019
8/31/2019,at McPherson (Kan.),1,4,63,23,160,0.25,57,6,8,8,76,1,6,3,4.0,0,73.0,2019
8/31/2019,vs Central Methodist,0,5,59,20,200,0.195,56,12,6,7,104,0,10,0,5.0,2,76.0,2019
9/6/2019,vs West Virginia Tech,1,3,45,17,114,0.246,43,13,6,1,55,0,4,0,2.0,0,60.0,2019
9/6/2019,vs Grace,1,3,45,16,130,0.223,43,5,3,4,71,1,12,0,7.0,0,57.0,2019
9/7/2019,vs Shawnee State,1,3,37,14,86,0.267,33,14,6,0,41,1,10,0,6.0,0,57.0,2019
9/11/2019,at Mich.-Dearborn,1,3,41,10,86,0.36,40,10,6,6,46,1,10,0,6.0,0,57.0,2019
9/18/2019,at Lourdes,1,3,47,18,131,0.221,45,7,4,2,74,1,8,0,5.0,0,59.0,2019
9/20/2019,Concordia (Mich.),1,3,41,6,98,0.357,40,9,4,1,51,0,6,0,3.0,0,53.0,2019
9/25/2019,at Rochester (Mich.),1,3,51,16,96,0.365,6,11,6,3,59,1,0,0,1.0,0,63.0,2019
9/27/2019,Aquinas,1,5,56,21,165,0.212,42,10,6,8,94,1,4,0,3.0,2,69.0,2019
9/28/2019,Cornerstone,1,3,33,10,103,0.223,31,8,6,3,48,2,4,1,4.0,0,45.0,2019
10/2/2019,Madonna,1,3,42,12,83,0.361,35,10,3,3,43,2,6,0,5.0,1,57.0,2019
10/4/2019,at UNOH,1,5,68,21,177,0.266,65,5,4,8,80,0,8,0,4.0,4,77.0,2019
10/5/2019,at Indiana Tech,1,4,34,26,166,0.048,32,9,2,2,87,4,18,0,13.0,0,56.0,2019
10/9/2019,at Siena Heights,1,3,45,22,134,0.172,40,5,1,4,88,0,0,1,0.0,1,50.0,2019
10/11/2019,vs Trinity Christian,0,5,57,36,215,0.098,54,6,2,9,118,0,17,0,8.5,1,71.5,2019
10/11/2019,vs Rocky Mountain,1,4,69,22,219,0.215,59,6,4,3,107,0,6,2,3.0,1,78.0,2019
10/12/2019,vs IU - South Bend,1,3,46,12,117,0.291,43,10,4,5,66,0,6,0,3.0,0,59.0,2019
10/12/2019,vs Bethel,1,3,49,12,118,0.314,43,4,5,5,61,0,4,0,2.0,2,55.0,2019
10/16/2019,Mich.-Dearborn,1,3,33,10,91,0.253,29,9,7,7,57,1,6,0,4.0,1,46.0,2019
10/18/2019,at Concordia (Mich.),1,3,45,12,113,0.292,40,6,4,2,67,1,12,0,7.0,1,58.0,2019
10/23/2019,Lourdes,1,4,75,28,185,0.254,72,4,3,4,103,1,4,2,3.0,0,82.0,2019
10/25/2019,at Aquinas,1,5,64,26,200,0.19,62,7,6,8,110,1,6,2,4.0,0,75.0,2019
10/26/2019,at Cornerstone,1,3,39,15,115,0.209,38,6,3,3,58,1,12,0,7.0,0,52.0,2019
10/30/2019,Rochester (Mich.),1,3,51,9,112,0.375,48,4,4,0,63,0,8,0,4.0,3,59.0,2019
11/1/2019,Northwestern Ohio,1,3,49,12,111,0.333,48,3,3,2,55,1,8,0,5.0,0,57.0,2019
11/2/2019,Indiana Tech,1,3,39,17,114,0.193,30,7,2,4,52,1,8,0,5.0,0,51.0,2019
11/6/2019,at Madonna,1,5,54,28,166,0.157,50,13,3,5,67,0,18,0,9.0,0,76.0,2019
11/9/2019,Siena Heights,1,4,54,26,170,0.165,46,7,5,1,93,0,8,0,4.0,1,65.0,2019
11/13/2019,Siena Heights,1,3,53,11,123,0.341,43,5,4,2,75,0,4,0,2.0,1,60.0,2019
11/15/2019,Indiana Tech,1,4,52,28,165,0.145,43,8,4,2,84,3,2,0,4.0,1,64.0,2019
11/16/2019,Madonna,1,4,52,21,149,0.208,47,7,4,10,54,1,10,0,6.0,0,65.0,2019
12/3/2019,vs Corban (Ore.),0,4,50,29,188,0.112,48,2,9,7,100,2,6,1,5.0,1,57.0,2019
12/4/2019,vs Northwestern (Iowa),0,3,53,16,148,0.25,49,6,6,9,75,0,2,1,1.0,0,60.0,2019
12/5/2019,vs Martin Methodist (Tenn.),1,5,65,25,217,0.184,51,4,5,5,117,3,12,0,9.0,2,78.0,2019
